Repository,Age (days),Created Date,Accepted PRs,Releases,Days Since Update,Primary Language,Closed Issues Ratio
freeCodeCamp/freeCodeCamp,3893,2014-12-24,25726,0,0,TypeScript,0.99
codecrafters-io/build-your-own-x,2661,2018-05-09,142,0,0,Markdown,0.72
sindresorhus/awesome,4059,2014-07-11,679,0,0,Unknown,0.96
EbookFoundation/free-programming-books,4332,2013-10-11,6820,0,0,Python,0.97
public-apis/public-apis,3440,2016-03-20,1872,0,0,Python,0.99
kamranahmedse/developer-roadmap,3081,2017-03-15,3693,1,0,TypeScript,0.92
jwasham/coding-interview-university,3363,2016-06-06,415,0,0,Unknown,0.88
donnemartin/system-design-primer,3098,2017-02-26,200,0,0,Python,0.27
996icu/996.ICU,2340,2019-03-26,1067,0,0,Unknown,0
vinta/awesome-python,4073,2014-06-27,544,0,0,Python,0
awesome-selfhosted/awesome-selfhosted,3734,2015-06-01,2394,1,0,Unknown,1.0
practical-tutorials/project-based-learning,3053,2017-04-12,182,0,0,Unknown,0.38
facebook/react,4472,2013-05-24,12127,105,0,JavaScript,0.94
vuejs/vue,4406,2013-07-29,1133,249,0,TypeScript,0.96
TheAlgorithms/Python,3323,2016-07-16,2976,0,0,Python,0.95
torvalds/linux,5099,2011-09-04,10,0,0,C,0
trekhleb/javascript-algorithms,2707,2018-03-24,302,0,0,JavaScript,0.63
tensorflow/tensorflow,3575,2015-11-07,35988,219,0,C++,0.98
ossu/computer-science,4127,2014-05-04,298,0,0,HTML,0.98
trimstray/the-book-of-secret-knowledge,2616,2018-06-23,122,0,0,Unknown,0
getify/You-Dont-Know-JS,4296,2013-11-16,368,0,0,Unknown,0.91
CyC2018/CS-Notes,2746,2018-02-13,374,0,0,Unknown,0.78
ohmyzsh/ohmyzsh,5837,2009-08-28,3377,0,0,Shell,0.97
Significant-Gravitas/AutoGPT,889,2023-03-16,3197,68,0,Python,0.95
microsoft/vscode,3640,2015-09-03,36220,177,0,TypeScript,0.94
twbs/bootstrap,5137,2011-07-29,8972,93,0,MDX,0.98
flutter/flutter,3820,2015-03-06,43824,7,0,Dart,0.89
jackfrued/Python-100-Days,2730,2018-03-01,13,0,0,Jupyter Notebook,0.17
github/gitignore,5400,2010-11-08,1713,0,0,Unknown,0
jlevy/the-art-of-command-line,3746,2015-05-20,317,0,0,Unknown,0.53
AUTOMATIC1111/stable-diffusion-webui,1095,2022-08-22,1874,27,0,Python,0.7
Snailclimb/JavaGuide,2663,2018-05-07,1180,0,0,Java,0.93
ollama/ollama,787,2023-06-26,2470,143,0,Go,0.78
avelino/awesome-go,4064,2014-07-06,3458,0,0,Go,0.99
huggingface/transformers,2488,2018-10-29,16663,223,0,Python,0.94
airbnb/javascript,4675,2012-11-01,810,0,0,JavaScript,0.93
massgravel/Microsoft-Activation-Scripts,2047,2020-01-12,6,24,0,Batchfile,1.0
ytdl-org/youtube-dl,5408,2010-10-31,1642,341,0,Python,0.86
vercel/next.js,3241,2016-10-05,23648,1000,0,JavaScript,0.9
f/awesome-chatgpt-prompts,990,2022-12-05,171,0,0,JavaScript,0
n8n-io/n8n,2252,2019-06-22,10628,382,0,TypeScript,0.88
golang/go,4020,2014-08-19,1,0,0,Go,0.86
labuladong/fucking-algorithm,2010,2020-02-19,238,1,0,Markdown,1.0
yangshun/tech-interview-handbook,3334,2016-07-05,481,0,0,TypeScript,0.64
Genymobile/scrcpy,2830,2017-11-21,113,47,0,C,0.56
521xueweihan/HelloGitHub,3396,2016-05-04,16,57,0,Python,0.92
Chalarangelo/30-seconds-of-code,2822,2017-11-29,827,12,0,JavaScript,1.0
facebook/react-native,3877,2015-01-09,930,410,0,C++,0.98
yt-dlp/yt-dlp,1760,2020-10-26,2905,117,0,Python,0.84
microsoft/PowerToys,2304,2019-05-01,5652,117,0,C#,0.8
electron/electron,4514,2013-04-12,23264,1000,0,C++,0.96
kubernetes/kubernetes,4093,2014-06-06,62232,755,0,Go,0.96
krahets/hello-algo,1021,2022-11-04,945,9,0,Java,0.96
justjavac/free-programming-books-zh_CN,4308,2013-11-04,282,3,0,Unknown,0
langchain-ai/langchain,1039,2022-10-17,14490,947,0,Jupyter Notebook,0.98
nodejs/node,3921,2014-11-26,10757,455,0,JavaScript,0.91
langgenius/dify,862,2023-04-12,7046,140,0,TypeScript,0.94
d3/d3,5442,2010-09-27,493,194,0,Shell,1.0
ripienaar/free-for-dev,3809,2015-03-18,2759,0,0,HTML,0
mrdoob/three.js,5630,2010-03-23,14395,171,0,JavaScript,0.97
axios/axios,4020,2014-08-18,1001,97,0,JavaScript,0.94
open-webui/open-webui,685,2023-10-06,2508,120,0,JavaScript,0.97
rust-lang/rust,5545,2010-06-16,65627,140,0,Rust,0.82
excalidraw/excalidraw,2058,2020-01-02,3699,14,0,TypeScript,0.57
microsoft/TypeScript,4083,2014-06-17,14674,212,0,TypeScript,0.87
goldbergyoni/nodebestpractices,2897,2017-09-15,765,0,0,Dockerfile,0.87
denoland/deno,2655,2018-05-15,13337,342,0,Rust,0.83
langflow-ai/langflow,925,2023-02-08,4621,262,0,Python,0.84
facebook/create-react-app,3322,2016-07-17,1949,83,0,JavaScript,0.78
GrowingGit/GitHub-Chinese-Top-Charts,2177,2019-09-05,0,0,0,Java,0.47
godotengine/godot,4247,2014-01-04,38707,61,0,C++,0.79
microsoft/terminal,2932,2017-08-11,4187,136,0,C++,0.88
deepseek-ai/DeepSeek-V3,238,2024-12-26,21,1,0,Python,0.95
angular/angular,3990,2014-09-18,3890,471,0,TypeScript,0.95
fatedier/frp,3531,2015-12-21,683,106,0,Go,0.98
papers-we-love/papers-we-love,4267,2013-12-15,437,0,0,Shell,1.0
Hack-with-Github/Awesome-Hacking,3431,2016-03-30,34,0,0,Unknown,0
mui/material-ui,4021,2014-08-18,20803,547,0,TypeScript,0.92
iptv-org/iptv,2472,2018-11-14,6670,0,0,TypeScript,0.97
rustdesk/rustdesk,1788,2020-09-28,3637,31,0,Rust,0.98
tauri-apps/tauri,2231,2019-07-13,5166,1000,0,Rust,0.8
ant-design/ant-design,3772,2015-04-24,15769,714,0,TypeScript,0.96
microsoft/generative-ai-for-beginners,794,2023-06-19,388,0,0,Jupyter Notebook,0.94
nvbn/thefuck,3788,2015-04-08,481,17,0,Python,0.62
ryanmcdermott/clean-code-javascript,3191,2016-11-25,149,0,0,JavaScript,0.69
shadcn-ui/ui,960,2023-01-04,636,52,0,TypeScript,0.71
Anduin2017/HowToCook,2000,2020-02-29,586,4,0,Dockerfile,0.44
pytorch/pytorch,3295,2016-08-13,6192,61,0,Python,0.71
iluwatar/java-design-patterns,4030,2014-08-09,1507,0,0,Java,0.87
neovim/neovim,4220,2014-01-31,16135,45,0,Vim Script,0.87
puppeteer/puppeteer,3026,2017-05-09,5422,560,0,TypeScript,0.96
microsoft/Web-Dev-For-Beginners,1745,2020-11-10,517,0,0,JavaScript,0.73
deepseek-ai/DeepSeek-R1,213,2025-01-20,9,1,0,Unknown,0.94
PanJiaChen/vue-element-admin,3048,2017-04-17,311,49,0,Vue,0.65
tailwindlabs/tailwindcss,2876,2017-10-06,3070,290,0,TypeScript,0.98
fastapi/fastapi,2448,2018-12-08,2738,208,0,Python,0.99
mtdvio/every-programmer-should-know,2919,2017-08-24,99,0,0,Unknown,0.44
storybookjs/storybook,3443,2016-03-18,11483,1000,0,TypeScript,0.85
supabase/supabase,2140,2019-10-12,12937,22,0,TypeScript,0.95
jaywcjlove/awesome-mac,3322,2016-07-17,991,12,0,JavaScript,0.76
